Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-5g79,rt,stimulus,key_press,test_part,correct_response,trial_type,trial_index,time_elapsed,internal_node_id,correct,success,browser_events,view_history,grid,target,p_or_r,block,first_response,trial_number,sequence,is_practice,correct_pos,correct_resp_button,resp_button,cumulative_RT,actual_triplet,triplet_type
1,1708695092913,23/02/2024 13:31:32,1708695092573,1,23/02/2024 14:31:32,143587,31,task-xrbt,,35455011,hnzm9,9856557,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x900,,,,Alternating Serial Reaction Time (ASRT) task,37,ASRT,,,,,,fullscreen,0,182849,0.0-0.0,,1,"[{""event"":""fullscreenenter"",""trial"":0,""time"":181920}]",,,,,,,,,,,,,,,
2,1708695213228,23/02/2024 13:33:33,1708695212546,1,23/02/2024 14:33:32,143587,31,task-xrbt,,35455011,hnzm9,9856557,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x900,,,,Alternating Serial Reaction Time (ASRT) task,37,ASRT,119918.29999995232,,,,,instructions,1,302823,0.0-1.0,,,[],"[{""page_index"":0,""viewing_time"":74872},{""page_index"":1,""viewing_time"":45043.59999990463}]",,,,,,,,,,,,,,
3,1708695226685,23/02/2024 13:33:46,1708695226341,1,23/02/2024 14:33:46,143587,31,task-xrbt,,35455011,hnzm9,9856557,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x900,,,,Alternating Serial Reaction Time (ASRT) task,37,ASRT,13770.700000047684,"<h2>Now a short practice will start.</h2>
        <p>Please place your fingers in this position on the keyboard:</p>
        <img src=/task/663873/37/asset/keyboard.bmp height='10%'>
        <p><strong>If you are ready, press <strong>any</strong> key to start a practice!</strong></p>",32,,,html-keyboard-response,2,316617,0.0-2.0,,,[],,,,,,,,,,,,,,,
4,1708695227428,23/02/2024 13:33:47,1708695227263,1,23/02/2024 14:33:47,143587,31,task-xrbt,,35455011,hnzm9,9856557,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x900,,,,Alternating Serial Reaction Time (ASRT) task,37,ASRT,901.6000001430511,,74,,,serial-reaction-time,3,317539,0.0-3.0-0.0,1,,[],,"[[1,1,1,1]]","[0,2]",R,1,1,1,1432,1,3,j,j,901.6000001430511,3,X
5,1708695228479,23/02/2024 13:33:48,1708695228402,1,23/02/2024 14:33:48,143587,31,task-xrbt,,35455011,hnzm9,9856557,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x900,,,,Alternating Serial Reaction Time (ASRT) task,37,ASRT,615.3999998569489,,70,,,serial-reaction-time,4,318679,0.0-14.0-0.0,1,,[],,"[[1,1,1,1]]","[0,1]",R,1,1,2,1432,1,2,f,f,615.3999998569489,32,X
6,1708695229497,23/02/2024 13:33:49,1708695229351,1,23/02/2024 14:33:49,143587,31,task-xrbt,,35455011,hnzm9,9856557,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x900,,,,Alternating Serial Reaction Time (ASRT) task,37,ASRT,418.2999999523163,,76,,,serial-reaction-time,5,319628,0.0-25.0-0.0,1,,[],,"[[1,1,1,1]]","[0,3]",R,1,1,3,1432,1,4,l,l,418.2999999523163,324,X
7,1708695230450,23/02/2024 13:33:50,1708695230362,1,23/02/2024 14:33:50,143587,31,task-xrbt,,35455011,hnzm9,9856557,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x900,,,,Alternating Serial Reaction Time (ASRT) task,37,ASRT,482.10000014305115,,76,,,serial-reaction-time,6,320639,0.0-36.0-0.0,1,,[],,"[[1,1,1,1]]","[0,3]",R,1,1,4,1432,1,4,l,l,482.10000014305115,244,X
8,1708695231538,23/02/2024 13:33:51,1708695231328,1,23/02/2024 14:33:51,143587,31,task-xrbt,,35455011,hnzm9,9856557,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x900,,,,Alternating Serial Reaction Time (ASRT) task,37,ASRT,442.2999999523163,,76,,,serial-reaction-time,7,321605,0.0-47.0-0.0,1,,[],,"[[1,1,1,1]]","[0,3]",R,1,1,5,1432,1,4,l,l,442.2999999523163,444,X
9,1708695232322,23/02/2024 13:33:52,1708695232245,1,23/02/2024 14:33:52,143587,31,task-xrbt,,35455011,hnzm9,9856557,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x900,,,,Alternating Serial Reaction Time (ASRT) task,37,ASRT,395.39999985694885,,70,,,serial-reaction-time,8,322521,0.0-58.0-0.0,1,,[],,"[[1,1,1,1]]","[0,1]",R,1,1,6,1432,1,2,f,f,395.39999985694885,442,X
10,1708695233298,23/02/2024 13:33:53,1708695233175,1,23/02/2024 14:33:53,143587,31,task-xrbt,,35455011,hnzm9,9856557,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x900,,,,Alternating Serial Reaction Time (ASRT) task,37,ASRT,405.40000009536743,,76,,,serial-reaction-time,9,323451,0.0-69.0-0.0,1,,[],,"[[1,1,1,1]]","[0,3]",R,1,1,7,1432,1,4,l,l,405.40000009536743,424,X
