Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-5g79,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,Stimulus,Answer,Congruency,Practice
1,1708698615682,23/02/2024 14:30:15,1708698615528,1,23/02/2024 15:30:15,143587,31,task-l8uv,,35456928,hnzm9,9856557,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,,,Stroop Task,5,ASRT,spreadsheet_stroop_100,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,
2,1708698641340,23/02/2024 14:30:41,1708698641015,1,23/02/2024 15:30:41,143587,31,task-l8uv,,35456928,hnzm9,9856557,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,1,1,1,Screen 1,button,continue_keyboard,25196.700000047684,,,,,0,1,0,,,,,,Instructions,,,,
3,1708698641588,23/02/2024 14:30:41,1708698641483,1,23/02/2024 15:30:41,143587,31,task-l8uv,,35456928,hnzm9,9856557,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,2,1,1,Screen 1,fixation,fixation,500,,,,,0,1,0,,,,,,Practice Trials,REDred.jpg,red,1,1
4,1708698642166,23/02/2024 14:30:42,1708698642054,1,23/02/2024 15:30:42,143587,31,task-l8uv,,35456928,hnzm9,9856557,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,2,1,2,Screen 2,buttona,response_keyboard,561.2000000476837,,,red,1,1,0,0,,,,,,Practice Trials,REDred.jpg,red,1,1
5,1708698642945,23/02/2024 14:30:42,1708698642820,1,23/02/2024 15:30:42,143587,31,task-l8uv,,35456928,hnzm9,9856557,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,3,2,1,Screen 1,fixation,fixation,499.8999999999978,,,,,0,1,0,,,,,,Practice Trials,YELLOWblue.jpg,yellow,0,1
6,1708698644769,23/02/2024 14:30:44,1708698644634,1,23/02/2024 15:30:44,143587,31,task-l8uv,,35456928,hnzm9,9856557,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,3,2,2,Screen 2,buttonb,response_keyboard,1803.7999999523163,,,blue,1,0,1,0,,,,,,Practice Trials,YELLOWblue.jpg,yellow,0,1
7,1708698645781,23/02/2024 14:30:45,1708698645421,1,23/02/2024 15:30:45,143587,31,task-l8uv,,35456928,hnzm9,9856557,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,4,3,1,Screen 1,fixation,fixation,499.90000000000146,,,,,0,1,0,,,,,,Practice Trials,YELLOWyellow.jpg,yellow,1,1
8,1708698646659,23/02/2024 14:30:46,1708698646358,1,23/02/2024 15:30:46,143587,31,task-l8uv,,35456928,hnzm9,9856557,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,4,3,2,Screen 2,buttona,response_keyboard,927.2999999523163,,,yellow,1,1,0,0,,,,,,Practice Trials,YELLOWyellow.jpg,yellow,1,1
9,1708698647269,23/02/2024 14:30:47,1708698647153,1,23/02/2024 15:30:47,143587,31,task-l8uv,,35456928,hnzm9,9856557,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,5,4,1,Screen 1,fixation,fixation,500.00000000000364,,,,,0,1,0,,,,,,Practice Trials,REDgreen.jpg,red,0,1
10,1708698648233,23/02/2024 14:30:48,1708698648127,1,23/02/2024 15:30:48,143587,31,task-l8uv,,35456928,hnzm9,9856557,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,5,4,2,Screen 2,buttona,response_keyboard,964.2000000476837,,,red,1,1,0,0,,,,,,Practice Trials,REDgreen.jpg,red,0,1
