Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-5g79,rt,stimulus,key_press,test_part,correct_response,trial_type,trial_index,time_elapsed,internal_node_id,correct,success,browser_events,view_history,grid,target,p_or_r,block,first_response,trial_number,sequence,is_practice,correct_pos,correct_resp_button,resp_button,cumulative_RT,actual_triplet,triplet_type
1,1708944138348,26/02/2024 10:42:18,1708944140313,1,26/02/2024 11:42:20,143587,31,task-7kgt,,35500213,pson3,9856427,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1536x864,1536x864,,,,Alternating Serial Reaction Time (ASRT) task,37,DGS,,,,,,fullscreen,0,5119,0.0-0.0,,1,"[{""event"":""fullscreenenter"",""trial"":0,""time"":4142}]",,,,,,,,,,,,,,,
2,1708944236898,26/02/2024 10:43:56,1708944238889,1,26/02/2024 11:43:58,143587,31,task-7kgt,,35500213,pson3,9856427,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1536x864,1536x864,,,,Alternating Serial Reaction Time (ASRT) task,37,DGS,98557.20000000019,,,,,instructions,1,103696,0.0-1.0,,,[],"[{""page_index"":0,""viewing_time"":53435.09999999963},{""page_index"":1,""viewing_time"":45121.5}]",,,,,,,,,,,,,,
3,1708944241983,26/02/2024 10:44:01,1708944244027,1,26/02/2024 11:44:04,143587,31,task-7kgt,,35500213,pson3,9856427,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1536x864,1536x864,,,,Alternating Serial Reaction Time (ASRT) task,37,DGS,5104.799999999814,"<h2>Now a short practice will start.</h2>
        <p>Please place your fingers in this position on the keyboard:</p>
        <img src=/task/663873/37/asset/keyboard.bmp height='10%'>
        <p><strong>If you are ready, press <strong>any</strong> key to start a practice!</strong></p>",74,,,html-keyboard-response,2,108834,0.0-2.0,,,[],,,,,,,,,,,,,,,
4,1708944242951,26/02/2024 10:44:02,1708944244978,1,26/02/2024 11:44:04,143587,31,task-7kgt,,35500213,pson3,9856427,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1536x864,1536x864,,,,Alternating Serial Reaction Time (ASRT) task,37,DGS,898.7999999998137,,74,,,serial-reaction-time,3,109784,0.0-3.0-0.0,1,,[],,"[[1,1,1,1]]","[0,2]",R,1,1,1,1243,1,3,j,j,898.7999999998137,3,X
5,1708944243976,26/02/2024 10:44:03,1708944246018,1,26/02/2024 11:44:06,143587,31,task-7kgt,,35500213,pson3,9856427,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1536x864,1536x864,,,,Alternating Serial Reaction Time (ASRT) task,37,DGS,503.80000000074506,,70,,,serial-reaction-time,4,110825,0.0-14.0-0.0,1,,[],,"[[1,1,1,1]]","[0,1]",R,1,1,2,1243,1,2,f,f,503.80000000074506,32,X
6,1708944244861,26/02/2024 10:44:04,1708944246905,1,26/02/2024 11:44:06,143587,31,task-7kgt,,35500213,pson3,9856427,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1536x864,1536x864,,,,Alternating Serial Reaction Time (ASRT) task,37,DGS,353.59999999962747,,74,,,serial-reaction-time,5,111712,0.0-25.0-0.0,1,,[],,"[[1,1,1,1]]","[0,2]",R,1,1,3,1243,1,3,j,j,353.59999999962747,323,X
7,1708944245706,26/02/2024 10:44:05,1708944247751,1,26/02/2024 11:44:07,143587,31,task-7kgt,,35500213,pson3,9856427,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1536x864,1536x864,,,,Alternating Serial Reaction Time (ASRT) task,37,DGS,331.70000000018626,,74,,,serial-reaction-time,6,112558,0.0-36.0-0.0,1,,[],,"[[1,1,1,1]]","[0,2]",R,1,1,4,1243,1,3,j,j,331.70000000018626,233,X
8,1708944246506,26/02/2024 10:44:06,1708944248553,1,26/02/2024 11:44:08,143587,31,task-7kgt,,35500213,pson3,9856427,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1536x864,1536x864,,,,Alternating Serial Reaction Time (ASRT) task,37,DGS,269.5,,83,,,serial-reaction-time,7,113359,0.0-47.0-0.0,1,,[],,"[[1,1,1,1]]","[0,0]",R,1,1,5,1243,1,1,s,s,269.5,331,X
9,1708944247331,26/02/2024 10:44:07,1708944249347,1,26/02/2024 11:44:09,143587,31,task-7kgt,,35500213,pson3,9856427,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1536x864,1536x864,,,,Alternating Serial Reaction Time (ASRT) task,37,DGS,258,,74,,,serial-reaction-time,8,114154,0.0-58.0-0.0,,,[],,"[[1,1,1,1]]","[0,3]",R,1,1,6,1243,1,4,l,j,258,314,X
10,1708944247401,26/02/2024 10:44:07,1708944249407,1,26/02/2024 11:44:09,143587,31,task-7kgt,,35500213,pson3,9856427,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1536x864,1536x864,,,,Alternating Serial Reaction Time (ASRT) task,37,DGS,30.700000000186265,,76,,,serial-reaction-time,9,114214,0.0-59.0-0.0,1,,[],,"[[1,1,1,1]]","[0,3]",R,1,0,6,1243,1,4,l,l,288.70000000018626,314,X
