Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-5g79,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,d1,answer,TimedSection,listLength,,ItemNo
1,1713947384188,24/04/2024 08:29:44,1713947384114,2,24/04/2024 10:29:44,143617,34,task-6uz8,,37233346,vhyg4,9856748,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1920x1080,1920x953,,,,"1. Digit Span task (forward, backward)",8,ASRT,ListA,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,
2,1713947552919,24/04/2024 08:32:32,1713947552768,2,24/04/2024 10:32:32,143617,34,task-6uz8,,37233346,vhyg4,9856748,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1366x768,1366x641,,,,"1. Digit Span task (forward, backward)",8,ASRT,ListA,ListA,1,1,1,Screen 1,button,continue_button,168611.20000000112,,,,,0,1,0,,,,,,Instructions,,,,,,
3,1713947829819,24/04/2024 08:37:09,1713947829420,2,24/04/2024 10:37:09,143617,34,task-6uz8,,37233346,vhyg4,9856748,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1366x768,1366x641,,,,"1. Digit Span task (forward, backward)",8,ASRT,ListA,ListA,2,1,1,Screen 4,advancementZone,continue_button,276625.19999999925,,,,,0,1,0,,,,,,Instructions Digit Forwards,,,,,,
4,1713947829901,24/04/2024 08:37:09,1713947829711,2,24/04/2024 10:37:09,143617,34,task-6uz8,,37233346,vhyg4,9856748,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1366x768,1366x641,,,,"1. Digit Span task (forward, backward)",8,ASRT,ListA,ListA,3,1,1,Screen 1,fixation,fixation,291.0999999999767,,,,,0,1,0,,,,,,Task,"<p style=""font-size: 700%;""> 5</p>",,,3,,
5,1713947830713,24/04/2024 08:37:10,1713947830711,2,24/04/2024 10:37:10,143617,34,task-6uz8,,37233346,vhyg4,9856748,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1366x768,1366x641,,,,"1. Digit Span task (forward, backward)",8,ASRT,ListA,ListA,3,1,2,Screen 2,Zone2,timelimit_screen,1000.4000000000233,,,,,0,1,0,,,1,,,Task,"<p style=""font-size: 700%;""> 5</p>",,,3,,
6,1713947831005,24/04/2024 08:37:11,1713947831001,2,24/04/2024 10:37:11,143617,34,task-6uz8,,37233346,vhyg4,9856748,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1366x768,1366x641,,,,"1. Digit Span task (forward, backward)",8,ASRT,ListA,ListA,4,2,1,Screen 1,fixation,fixation,291.70000000001164,,,,,0,1,0,,,,,,Task,"<p style=""font-size: 700%;"">7</p>",,,3,,
7,1713947832009,24/04/2024 08:37:12,1713947832003,2,24/04/2024 10:37:12,143617,34,task-6uz8,,37233346,vhyg4,9856748,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1366x768,1366x641,,,,"1. Digit Span task (forward, backward)",8,ASRT,ListA,ListA,4,2,2,Screen 2,Zone2,timelimit_screen,999.5999999999767,,,,,0,1,0,,,1,,,Task,"<p style=""font-size: 700%;"">7</p>",,,3,,
8,1713947832302,24/04/2024 08:37:12,1713947832294,2,24/04/2024 10:37:12,143617,34,task-6uz8,,37233346,vhyg4,9856748,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1366x768,1366x641,,,,"1. Digit Span task (forward, backward)",8,ASRT,ListA,ListA,5,3,1,Screen 1,fixation,fixation,291.6000000000349,,,,,0,1,0,,,,,,Task,"<p style=""font-size: 700%;"">9</p>",,,3,,
9,1713947833319,24/04/2024 08:37:13,1713947833294,2,24/04/2024 10:37:13,143617,34,task-6uz8,,37233346,vhyg4,9856748,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1366x768,1366x641,,,,"1. Digit Span task (forward, backward)",8,ASRT,ListA,ListA,5,3,2,Screen 2,Zone2,timelimit_screen,1000.0999999999767,,,,,0,1,0,,,1,,,Task,"<p style=""font-size: 700%;"">9</p>",,,3,,
10,1713947835445,24/04/2024 08:37:15,1713947835446,2,24/04/2024 10:37:15,143617,34,task-6uz8,,37233346,vhyg4,9856748,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1366x768,1366x641,,,,"1. Digit Span task (forward, backward)",8,ASRT,ListA,ListA,6,1,1,Screen 1,Zone2,response_text_entry,919,,Enter Key,579,1,1,0,0,,,,,,Test_Forwards,,579,8000,3,,F3_1
11,1713947835733,24/04/2024 08:37:15,1713947835731,2,24/04/2024 10:37:15,143617,34,task-6uz8,,37233346,vhyg4,9856748,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1366x768,1366x641,,,,"1. Digit Span task (forward, backward)",8,ASRT,ListA,ListA,7,4,1,Screen 1,fixation,fixation,291.70000000001164,,,,,0,1,0,,,,,,Task,"<p style=""font-size: 700%;"">7</p>",,,3,,
12,1713947836737,24/04/2024 08:37:16,1713947836732,2,24/04/2024 10:37:16,143617,34,task-6uz8,,37233346,vhyg4,9856748,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1366x768,1366x641,,,,"1. Digit Span task (forward, backward)",8,ASRT,ListA,ListA,7,4,2,Screen 2,Zone2,timelimit_screen,1000.1999999999534,,,,,0,1,0,,,1,,,Task,"<p style=""font-size: 700%;"">7</p>",,,3,,
13,1713947837039,24/04/2024 08:37:17,1713947837023,2,24/04/2024 10:37:17,143617,34,task-6uz8,,37233346,vhyg4,9856748,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1366x768,1366x641,,,,"1. Digit Span task (forward, backward)",8,ASRT,ListA,ListA,8,5,1,Screen 1,fixation,fixation,291.6000000000349,,,,,0,1,0,,,,,,Task,"<p style=""font-size: 700%;"">1</p>",,,3,,
14,1713947838046,24/04/2024 08:37:18,1713947838023,2,24/04/2024 10:37:18,143617,34,task-6uz8,,37233346,vhyg4,9856748,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1366x768,1366x641,,,,"1. Digit Span task (forward, backward)",8,ASRT,ListA,ListA,8,5,2,Screen 2,Zone2,timelimit_screen,1000,,,,,0,1,0,,,1,,,Task,"<p style=""font-size: 700%;"">1</p>",,,3,,
15,1713947838344,24/04/2024 08:37:18,1713947838315,2,24/04/2024 10:37:18,143617,34,task-6uz8,,37233346,vhyg4,9856748,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1366x768,1366x641,,,,"1. Digit Span task (forward, backward)",8,ASRT,ListA,ListA,9,6,1,Screen 1,fixation,fixation,291.5999999999767,,,,,0,1,0,,,,,,Task,"<p style=""font-size: 700%;"">6</p>",,,3,,
16,1713947839320,24/04/2024 08:37:19,1713947839315,2,24/04/2024 10:37:19,143617,34,task-6uz8,,37233346,vhyg4,9856748,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1366x768,1366x641,,,,"1. Digit Span task (forward, backward)",8,ASRT,ListA,ListA,9,6,2,Screen 2,Zone2,timelimit_screen,1000.5,,,,,0,1,0,,,1,,,Task,"<p style=""font-size: 700%;"">6</p>",,,3,,
17,1713947840963,24/04/2024 08:37:20,1713947840964,2,24/04/2024 10:37:20,143617,34,task-6uz8,,37233346,vhyg4,9856748,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1366x768,1366x641,,,,"1. Digit Span task (forward, backward)",8,ASRT,ListA,ListA,10,2,1,Screen 1,Zone2,response_text_entry,790.5999999996275,,Enter Key,716,1,1,0,0,,,,,,Test_Forwards,,716,8000,3,,F3_2
18,1713947841264,24/04/2024 08:37:21,1713947841252,2,24/04/2024 10:37:21,143617,34,task-6uz8,,37233346,vhyg4,9856748,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1366x768,1366x641,,,,"1. Digit Span task (forward, backward)",8,ASRT,ListA,ListA,11,7,1,Screen 1,fixation,fixation,291.20000000001164,,,,,0,1,0,,,,,,Task,"<p style=""font-size: 700%;"">4</p>",,,3,,
19,1713947842266,24/04/2024 08:37:22,1713947842255,2,24/04/2024 10:37:22,143617,34,task-6uz8,,37233346,vhyg4,9856748,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1366x768,1366x641,,,,"1. Digit Span task (forward, backward)",8,ASRT,ListA,ListA,11,7,2,Screen 2,Zone2,timelimit_screen,1000.6000000000349,,,,,0,1,0,,,1,,,Task,"<p style=""font-size: 700%;"">4</p>",,,3,,
20,1713947842539,24/04/2024 08:37:22,1713947842541,2,24/04/2024 10:37:22,143617,34,task-6uz8,,37233346,vhyg4,9856748,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1366x768,1366x641,,,,"1. Digit Span task (forward, backward)",8,ASRT,ListA,ListA,12,8,1,Screen 1,fixation,fixation,290.79999999998836,,,,,0,1,0,,,,,,Task,"<p style=""font-size: 700%;"">8</p>",,,3,,
21,1713947843558,24/04/2024 08:37:23,1713947843545,2,24/04/2024 10:37:23,143617,34,task-6uz8,,37233346,vhyg4,9856748,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1366x768,1366x641,,,,"1. Digit Span task (forward, backward)",8,ASRT,ListA,ListA,12,8,2,Screen 2,Zone2,timelimit_screen,1000.2999999999884,,,,,0,1,0,,,1,,,Task,"<p style=""font-size: 700%;"">8</p>",,,3,,
22,1713947843849,24/04/2024 08:37:23,1713947843835,2,24/04/2024 10:37:23,143617,34,task-6uz8,,37233346,vhyg4,9856748,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1366x768,1366x641,,,,"1. Digit Span task (forward, backward)",8,ASRT,ListA,ListA,13,9,1,Screen 1,fixation,fixation,291.9000000000233,,,,,0,1,0,,,,,,Task,"<p style=""font-size: 700%;"">5</p>",,,3,,
23,1713947844839,24/04/2024 08:37:24,1713947844834,2,24/04/2024 10:37:24,143617,34,task-6uz8,,37233346,vhyg4,9856748,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1366x768,1366x641,,,,"1. Digit Span task (forward, backward)",8,ASRT,ListA,ListA,13,9,2,Screen 2,Zone2,timelimit_screen,999.7999999999884,,,,,0,1,0,,,1,,,Task,"<p style=""font-size: 700%;"">5</p>",,,3,,
24,1713947846782,24/04/2024 08:37:26,1713947846758,2,24/04/2024 10:37:26,143617,34,task-6uz8,,37233346,vhyg4,9856748,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1366x768,1366x641,,,,"1. Digit Span task (forward, backward)",8,ASRT,ListA,ListA,14,3,1,Screen 1,Zone2,response_text_entry,1080.199999999255,,Enter Key,485,1,1,0,0,,,,,,Test_Forwards,,485,8000,3,,F3_3
25,1713947847056,24/04/2024 08:37:27,1713947847043,2,24/04/2024 10:37:27,143617,34,task-6uz8,,37233346,vhyg4,9856748,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1366x768,1366x641,,,,"1. Digit Span task (forward, backward)",8,ASRT,ListA,ListA,15,10,1,Screen 1,fixation,fixation,291.5,,,,,0,1,0,,,,,,Task,"<p style=""font-size: 700%;"">3</p>",,,3,,
