Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-5g79,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,d1,answer,TimedSection,listLength,,ItemNo
1,1715791420540,15/05/2024 16:43:40,1715791420426,2,15/05/2024 18:43:40,143617,34,task-incd,,37672997,tpxp2,9856751,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 124.0.0.0,1440x900,1440x754,,,,"1. Digit Span task (forward, backward)",8,DGS,ListA,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,
2,1715791452700,15/05/2024 16:44:12,1715791452405,2,15/05/2024 18:44:12,143617,34,task-incd,,37672997,tpxp2,9856751,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 124.0.0.0,1440x900,1440x754,,,,"1. Digit Span task (forward, backward)",8,DGS,ListA,ListA,1,1,1,Screen 1,button,continue_button,31959.899999976158,,,,,0,1,0,,,,,,Instructions,,,,,,
3,1715791484424,15/05/2024 16:44:44,1715791484271,2,15/05/2024 18:44:44,143617,34,task-incd,,37672997,tpxp2,9856751,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 124.0.0.0,1440x900,1440x754,,,,"1. Digit Span task (forward, backward)",8,DGS,ListA,ListA,2,1,1,Screen 4,advancementZone,continue_button,31854.900000095367,,,,,0,1,0,,,,,,Instructions Digit Forwards,,,,,,
4,1715791484626,15/05/2024 16:44:44,1715791484556,2,15/05/2024 18:44:44,143617,34,task-incd,,37672997,tpxp2,9856751,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 124.0.0.0,1440x900,1440x754,,,,"1. Digit Span task (forward, backward)",8,DGS,ListA,ListA,3,1,1,Screen 1,fixation,fixation,300,,,,,0,1,0,,,,,,Task,"<p style=""font-size: 700%;""> 5</p>",,,3,,
5,1715791485662,15/05/2024 16:44:45,1715791485557,2,15/05/2024 18:44:45,143617,34,task-incd,,37672997,tpxp2,9856751,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 124.0.0.0,1440x900,1440x754,,,,"1. Digit Span task (forward, backward)",8,DGS,ListA,ListA,3,1,2,Screen 2,Zone2,timelimit_screen,1000.0999999999913,,,,,0,1,0,,,1,,,Task,"<p style=""font-size: 700%;""> 5</p>",,,3,,
6,1715791485944,15/05/2024 16:44:45,1715791485856,2,15/05/2024 18:44:45,143617,34,task-incd,,37672997,tpxp2,9856751,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 124.0.0.0,1440x900,1440x754,,,,"1. Digit Span task (forward, backward)",8,DGS,ListA,ListA,4,2,1,Screen 1,fixation,fixation,300,,,,,0,1,0,,,,,,Task,"<p style=""font-size: 700%;"">7</p>",,,3,,
7,1715791486984,15/05/2024 16:44:46,1715791486856,2,15/05/2024 18:44:46,143617,34,task-incd,,37672997,tpxp2,9856751,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 124.0.0.0,1440x900,1440x754,,,,"1. Digit Span task (forward, backward)",8,DGS,ListA,ListA,4,2,2,Screen 2,Zone2,timelimit_screen,1000.1000000000058,,,,,0,1,0,,,1,,,Task,"<p style=""font-size: 700%;"">7</p>",,,3,,
8,1715791487226,15/05/2024 16:44:47,1715791487155,2,15/05/2024 18:44:47,143617,34,task-incd,,37672997,tpxp2,9856751,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 124.0.0.0,1440x900,1440x754,,,,"1. Digit Span task (forward, backward)",8,DGS,ListA,ListA,5,3,1,Screen 1,fixation,fixation,300,,,,,0,1,0,,,,,,Task,"<p style=""font-size: 700%;"">9</p>",,,3,,
9,1715791488232,15/05/2024 16:44:48,1715791488156,2,15/05/2024 18:44:48,143617,34,task-incd,,37672997,tpxp2,9856751,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 124.0.0.0,1440x900,1440x754,,,,"1. Digit Span task (forward, backward)",8,DGS,ListA,ListA,5,3,2,Screen 2,Zone2,timelimit_screen,1000,,,,,0,1,0,,,1,,,Task,"<p style=""font-size: 700%;"">9</p>",,,3,,
10,1715791490786,15/05/2024 16:44:50,1715791490723,2,15/05/2024 18:44:50,143617,34,task-incd,,37672997,tpxp2,9856751,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 124.0.0.0,1440x900,1440x754,,,,"1. Digit Span task (forward, backward)",8,DGS,ListA,ListA,6,1,1,Screen 1,Zone2,response_text_entry,1286.2999999523163,,Enter Key,579,1,1,0,0,,,,,,Test_Forwards,,579,8000,3,,F3_1
