Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-5g79,rt,stimulus,key_press,test_part,correct_response,trial_type,trial_index,time_elapsed,internal_node_id,correct,success,browser_events,view_history,grid,target,p_or_r,block,first_response,trial_number,sequence,is_practice,correct_pos,correct_resp_button,resp_button,cumulative_RT,actual_triplet,triplet_type
1,1713943797996,24/04/2024 07:29:57,1713943797979,2,24/04/2024 09:29:57,143617,34,task-xrbt,,37232506,vhyg4,9856748,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1920x1080,1920x1080,,,,Alternating Serial Reaction Time (ASRT) task,5,ASRT,,,,,,fullscreen,0,4580,0.0-0.0,,1,"[{""event"":""fullscreenenter"",""trial"":0,""time"":3601}]",,,,,,,,,,,,,,,
2,1713944828457,24/04/2024 07:47:08,1713944827891,2,24/04/2024 09:47:07,143617,34,task-xrbt,,37232506,vhyg4,9856748,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1920x1080,1920x1080,,,,Alternating Serial Reaction Time (ASRT) task,5,ASRT,1029886.2000000002,,,,,instructions,1,1034495,0.0-1.0,,,[],"[{""page_index"":0,""viewing_time"":1016125},{""page_index"":1,""viewing_time"":13760.399999999441}]",,,,,,,,,,,,,,
3,1713944831174,24/04/2024 07:47:11,1713944831217,2,24/04/2024 09:47:11,143617,34,task-xrbt,,37232506,vhyg4,9856748,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1920x1080,1920x1080,,,,Alternating Serial Reaction Time (ASRT) task,5,ASRT,3290.5,"<h2>Now a short practice will start.</h2>
        <p>Please place your fingers in this position on the keyboard:</p>
        <img src=/task/752107/5/asset/keyboard.bmp height='10%'>
        <p><strong>If you are ready, press <strong>any</strong> key to start a practice!</strong></p>",74,,,html-keyboard-response,2,1037820,0.0-2.0,,,[],,,,,,,,,,,,,,,
4,1713944832087,24/04/2024 07:47:12,1713944832138,2,24/04/2024 09:47:12,143617,34,task-xrbt,,37232506,vhyg4,9856748,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1920x1080,1920x1080,,,,Alternating Serial Reaction Time (ASRT) task,5,ASRT,883.4000000003725,,76,,,serial-reaction-time,3,1038741,0.0-3.0-0.0,1,,[],,"[[1,1,1,1]]","[0,3]",R,1,1,1,2314,1,4,l,l,883.4000000003725,4,X
5,1713944833226,24/04/2024 07:47:13,1713944833267,2,24/04/2024 09:47:13,143617,34,task-xrbt,,37232506,vhyg4,9856748,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1920x1080,1920x1080,,,,Alternating Serial Reaction Time (ASRT) task,5,ASRT,603.6000000005588,,76,,,serial-reaction-time,4,1039870,0.0-14.0-0.0,1,,[],,"[[1,1,1,1]]","[0,3]",R,1,1,2,2314,1,4,l,l,603.6000000005588,44,X
6,1713944834117,24/04/2024 07:47:14,1713944834170,2,24/04/2024 09:47:14,143617,34,task-xrbt,,37232506,vhyg4,9856748,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1920x1080,1920x1080,,,,Alternating Serial Reaction Time (ASRT) task,5,ASRT,385.79999999981374,,76,,,serial-reaction-time,5,1040774,0.0-25.0-0.0,1,,[],,"[[1,1,1,1]]","[0,3]",R,1,1,3,2314,1,4,l,l,385.79999999981374,444,X
7,1713944835095,24/04/2024 07:47:15,1713944835149,2,24/04/2024 09:47:15,143617,34,task-xrbt,,37232506,vhyg4,9856748,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1920x1080,1920x1080,,,,Alternating Serial Reaction Time (ASRT) task,5,ASRT,444,,70,,,serial-reaction-time,6,1041752,0.0-36.0-0.0,1,,[],,"[[1,1,1,1]]","[0,1]",R,1,1,4,2314,1,2,f,f,444,442,X
8,1713944835990,24/04/2024 07:47:15,1713944836038,2,24/04/2024 09:47:16,143617,34,task-xrbt,,37232506,vhyg4,9856748,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1920x1080,1920x1080,,,,Alternating Serial Reaction Time (ASRT) task,5,ASRT,359.5,,70,,,serial-reaction-time,7,1042642,0.0-47.0-0.0,1,,[],,"[[1,1,1,1]]","[0,1]",R,1,1,5,2314,1,2,f,f,359.5,422,X
9,1713944836861,24/04/2024 07:47:16,1713944836902,2,24/04/2024 09:47:16,143617,34,task-xrbt,,37232506,vhyg4,9856748,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1920x1080,1920x1080,,,,Alternating Serial Reaction Time (ASRT) task,5,ASRT,335,,70,,,serial-reaction-time,8,1043506,0.0-58.0-0.0,1,,[],,"[[1,1,1,1]]","[0,1]",R,1,1,6,2314,1,2,f,f,335,222,X
10,1713944837732,24/04/2024 07:47:17,1713944837793,2,24/04/2024 09:47:17,143617,34,task-xrbt,,37232506,vhyg4,9856748,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1920x1080,1920x1080,,,,Alternating Serial Reaction Time (ASRT) task,5,ASRT,355.6000000005588,,76,,,serial-reaction-time,9,1044397,0.0-69.0-0.0,1,,[],,"[[1,1,1,1]]","[0,3]",R,1,1,7,2314,1,4,l,l,355.6000000005588,224,X
