Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-5g79,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,Stimulus,Answer,Congruency,Practice
1,1707390028082,08/02/2024 11:00:28,1707390028017,1,08/02/2024 12:00:28,143617,34,task-5alh,,34913788,pjuk8,9856732,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x593,,,,Stroop Task,7,DGS,spreadsheet_stroop_100,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,
2,1707390231121,08/02/2024 11:03:51,1707390230954,1,08/02/2024 12:03:50,143617,34,task-5alh,,34913788,pjuk8,9856732,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x593,,,,Stroop Task,7,DGS,spreadsheet_stroop_100,spreadsheet_stroop_100,1,1,1,Screen 1,button,continue_keyboard,202515.40000009537,,,,,0,1,0,,,,,,Instructions,,,,
3,1707390231458,08/02/2024 11:03:51,1707390231438,1,08/02/2024 12:03:51,143617,34,task-5alh,,34913788,pjuk8,9856732,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x593,,,,Stroop Task,7,DGS,spreadsheet_stroop_100,spreadsheet_stroop_100,2,1,1,Screen 1,fixation,fixation,499.8999999999942,,,,,0,1,0,,,,,,Practice Trials,REDred.jpg,red,1,1
4,1707390234094,08/02/2024 11:03:54,1707390234044,1,08/02/2024 12:03:54,143617,34,task-5alh,,34913788,pjuk8,9856732,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x593,,,,Stroop Task,7,DGS,spreadsheet_stroop_100,spreadsheet_stroop_100,2,1,2,Screen 2,buttona,response_keyboard,2596.100000143051,,,red,1,1,0,0,,,,,,Practice Trials,REDred.jpg,red,1,1
5,1707390234881,08/02/2024 11:03:54,1707390234838,1,08/02/2024 12:03:54,143617,34,task-5alh,,34913788,pjuk8,9856732,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x593,,,,Stroop Task,7,DGS,spreadsheet_stroop_100,spreadsheet_stroop_100,3,2,1,Screen 1,fixation,fixation,500,,,,,0,1,0,,,,,,Practice Trials,YELLOWblue.jpg,yellow,0,1
6,1707390238849,08/02/2024 11:03:58,1707390238830,1,08/02/2024 12:03:58,143617,34,task-5alh,,34913788,pjuk8,9856732,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x593,,,,Stroop Task,7,DGS,spreadsheet_stroop_100,spreadsheet_stroop_100,3,2,2,Screen 2,buttona,response_keyboard,3980.0999999046326,,,yellow,1,1,0,0,,,,,,Practice Trials,YELLOWblue.jpg,yellow,0,1
7,1707390239646,08/02/2024 11:03:59,1707390239621,1,08/02/2024 12:03:59,143617,34,task-5alh,,34913788,pjuk8,9856732,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x593,,,,Stroop Task,7,DGS,spreadsheet_stroop_100,spreadsheet_stroop_100,4,3,1,Screen 1,fixation,fixation,500.29999999998836,,,,,0,1,0,,,,,,Practice Trials,YELLOWyellow.jpg,yellow,1,1
8,1707390244140,08/02/2024 11:04:04,1707390243803,1,08/02/2024 12:04:03,143617,34,task-5alh,,34913788,pjuk8,9856732,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x593,,,,Stroop Task,7,DGS,spreadsheet_stroop_100,spreadsheet_stroop_100,4,3,2,Screen 2,buttona,response_keyboard,4166.799999952316,,,yellow,1,1,0,0,,,,,,Practice Trials,YELLOWyellow.jpg,yellow,1,1
9,1707390244612,08/02/2024 11:04:04,1707390244586,1,08/02/2024 12:04:04,143617,34,task-5alh,,34913788,pjuk8,9856732,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x593,,,,Stroop Task,7,DGS,spreadsheet_stroop_100,spreadsheet_stroop_100,5,4,1,Screen 1,fixation,fixation,500.1000000000058,,,,,0,1,0,,,,,,Practice Trials,REDgreen.jpg,red,0,1
10,1707390249049,08/02/2024 11:04:09,1707390249026,1,08/02/2024 12:04:09,143617,34,task-5alh,,34913788,pjuk8,9856732,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x593,,,,Stroop Task,7,DGS,spreadsheet_stroop_100,spreadsheet_stroop_100,5,4,2,Screen 2,buttona,response_keyboard,4431.5,,,red,1,1,0,0,,,,,,Practice Trials,REDgreen.jpg,red,0,1
