Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-5g79,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,Stimulus,Answer,Congruency,Practice
1,1707495745892,09/02/2024 16:22:25,1707495747108,1,09/02/2024 17:22:27,143617,34,task-yi7p,,34975091,zurx0,9856738,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1280x585,,,,Stroop Task,7,ASRT,spreadsheet_stroop_100,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,
2,1707495842955,09/02/2024 16:24:02,1707495844198,1,09/02/2024 17:24:04,143617,34,task-yi7p,,34975091,zurx0,9856738,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1280x585,,,,Stroop Task,7,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,1,1,1,Screen 1,button,continue_keyboard,96802.5,,,,,0,1,0,,,,,,Instructions,,,,
3,1707495843430,09/02/2024 16:24:03,1707495844674,1,09/02/2024 17:24:04,143617,34,task-yi7p,,34975091,zurx0,9856738,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1280x585,,,,Stroop Task,7,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,2,1,1,Screen 1,fixation,fixation,499.8000000000029,,,,,0,1,0,,,,,,Practice Trials,REDred.jpg,red,1,1
4,1707495845124,09/02/2024 16:24:05,1707495846355,1,09/02/2024 17:24:06,143617,34,task-yi7p,,34975091,zurx0,9856738,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1280x585,,,,Stroop Task,7,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,2,1,2,Screen 2,buttona,response_keyboard,1670.1000000005588,,,red,1,1,0,0,,,,,,Practice Trials,REDred.jpg,red,1,1
5,1707495845897,09/02/2024 16:24:05,1707495847140,1,09/02/2024 17:24:07,143617,34,task-yi7p,,34975091,zurx0,9856738,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1280x585,,,,Stroop Task,7,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,3,2,1,Screen 1,fixation,fixation,500.1000000000058,,,,,0,1,0,,,,,,Practice Trials,YELLOWblue.jpg,yellow,0,1
6,1707495848008,09/02/2024 16:24:08,1707495849251,1,09/02/2024 17:24:09,143617,34,task-yi7p,,34975091,zurx0,9856738,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1280x585,,,,Stroop Task,7,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,3,2,2,Screen 2,buttona,response_keyboard,2101.2999999998137,,,yellow,1,1,0,0,,,,,,Practice Trials,YELLOWblue.jpg,yellow,0,1
7,1707495848799,09/02/2024 16:24:08,1707495850040,1,09/02/2024 17:24:10,143617,34,task-yi7p,,34975091,zurx0,9856738,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1280x585,,,,Stroop Task,7,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,4,3,1,Screen 1,fixation,fixation,499.79999999998836,,,,,0,1,0,,,,,,Practice Trials,YELLOWyellow.jpg,yellow,1,1
8,1707495849467,09/02/2024 16:24:09,1707495850704,1,09/02/2024 17:24:10,143617,34,task-yi7p,,34975091,zurx0,9856738,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1280x585,,,,Stroop Task,7,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,4,3,2,Screen 2,buttona,response_keyboard,655.5,,,yellow,1,1,0,0,,,,,,Practice Trials,YELLOWyellow.jpg,yellow,1,1
9,1707495850239,09/02/2024 16:24:10,1707495851490,1,09/02/2024 17:24:11,143617,34,task-yi7p,,34975091,zurx0,9856738,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1280x585,,,,Stroop Task,7,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,5,4,1,Screen 1,fixation,fixation,499.90000000000873,,,,,0,1,0,,,,,,Practice Trials,REDgreen.jpg,red,0,1
10,1707495850956,09/02/2024 16:24:10,1707495852195,1,09/02/2024 17:24:12,143617,34,task-yi7p,,34975091,zurx0,9856738,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1280x585,,,,Stroop Task,7,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,5,4,2,Screen 2,buttona,response_keyboard,695.2000000001863,,,red,1,1,0,0,,,,,,Practice Trials,REDgreen.jpg,red,0,1
11,1707495851752,09/02/2024 16:24:11,1707495852990,1,09/02/2024 17:24:12,143617,34,task-yi7p,,34975091,zurx0,9856738,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1280x585,,,,Stroop Task,7,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,6,5,1,Screen 1,fixation,fixation,500,,,,,0,1,0,,,,,,Practice Trials,BLUEyellow.jpg,blue,0,1
12,1707495852583,09/02/2024 16:24:12,1707495853824,1,09/02/2024 17:24:13,143617,34,task-yi7p,,34975091,zurx0,9856738,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1280x585,,,,Stroop Task,7,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,6,5,2,Screen 2,buttonb,response_keyboard,825.7999999998137,,,blue,1,1,0,0,,,,,,Practice Trials,BLUEyellow.jpg,blue,0,1
13,1707495853362,09/02/2024 16:24:13,1707495854606,1,09/02/2024 17:24:14,143617,34,task-yi7p,,34975091,zurx0,9856738,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1280x585,,,,Stroop Task,7,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,7,6,1,Screen 1,fixation,fixation,500.1000000000058,,,,,0,1,0,,,,,,Practice Trials,GREENred.jpg,green,0,1
14,1707495854166,09/02/2024 16:24:14,1707495855420,1,09/02/2024 17:24:15,143617,34,task-yi7p,,34975091,zurx0,9856738,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1280x585,,,,Stroop Task,7,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,7,6,2,Screen 2,buttonb,response_keyboard,804.9000000003725,,,green,1,1,0,0,,,,,,Practice Trials,GREENred.jpg,green,0,1
15,1707495854973,09/02/2024 16:24:14,1707495856206,1,09/02/2024 17:24:16,143617,34,task-yi7p,,34975091,zurx0,9856738,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1280x585,,,,Stroop Task,7,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,8,7,1,Screen 1,fixation,fixation,500.1000000000058,,,,,0,1,0,,,,,,Practice Trials,BLUEyellow.jpg,blue,0,1
16,1707495855682,09/02/2024 16:24:15,1707495856936,1,09/02/2024 17:24:16,143617,34,task-yi7p,,34975091,zurx0,9856738,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1280x585,,,,Stroop Task,7,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,8,7,2,Screen 2,buttonb,response_keyboard,722,,,blue,1,1,0,0,,,,,,Practice Trials,BLUEyellow.jpg,blue,0,1
17,1707495856480,09/02/2024 16:24:16,1707495857722,1,09/02/2024 17:24:17,143617,34,task-yi7p,,34975091,zurx0,9856738,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1280x585,,,,Stroop Task,7,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,9,8,1,Screen 1,fixation,fixation,500.09999999999127,,,,,0,1,0,,,,,,Practice Trials,BLUEred.jpg,blue,0,1
18,1707495857058,09/02/2024 16:24:17,1707495858301,1,09/02/2024 17:24:18,143617,34,task-yi7p,,34975091,zurx0,9856738,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1280x585,,,,Stroop Task,7,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,9,8,2,Screen 2,buttonb,response_keyboard,571,,,blue,1,1,0,0,,,,,,Practice Trials,BLUEred.jpg,blue,0,1
19,1707495857833,09/02/2024 16:24:17,1707495859089,1,09/02/2024 17:24:19,143617,34,task-yi7p,,34975091,zurx0,9856738,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1280x585,,,,Stroop Task,7,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,10,9,1,Screen 1,fixation,fixation,500.1999999999971,,,,,0,1,0,,,,,,Practice Trials,GREENblue.jpg,green,0,1
20,1707495858509,09/02/2024 16:24:18,1707495859754,1,09/02/2024 17:24:19,143617,34,task-yi7p,,34975091,zurx0,9856738,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1280x585,,,,Stroop Task,7,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,10,9,2,Screen 2,buttonb,response_keyboard,656.0999999996275,,,green,1,1,0,0,,,,,,Practice Trials,GREENblue.jpg,green,0,1
21,1707495859421,09/02/2024 16:24:19,1707495860539,1,09/02/2024 17:24:20,143617,34,task-yi7p,,34975091,zurx0,9856738,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1280x585,,,,Stroop Task,7,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,11,10,1,Screen 1,fixation,fixation,500,,,,,0,1,0,,,,,,Practice Trials,GREENred.jpg,green,0,1
22,1707495860879,09/02/2024 16:24:20,1707495862131,1,09/02/2024 17:24:22,143617,34,task-yi7p,,34975091,zurx0,9856738,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1280x585,,,,Stroop Task,7,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,11,10,2,Screen 2,buttonb,response_keyboard,1584.5999999996275,,,green,1,1,0,0,,,,,,Practice Trials,GREENred.jpg,green,0,1
23,1707495861680,09/02/2024 16:24:21,1707495862922,1,09/02/2024 17:24:22,143617,34,task-yi7p,,34975091,zurx0,9856738,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1280x585,,,,Stroop Task,7,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,12,11,1,Screen 1,fixation,fixation,500.1000000000058,,,,,0,1,0,,,,,,Practice Trials,GREENgreen.jpg,green,1,1
24,1707495862254,09/02/2024 16:24:22,1707495863498,1,09/02/2024 17:24:23,143617,34,task-yi7p,,34975091,zurx0,9856738,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1280x585,,,,Stroop Task,7,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,12,11,2,Screen 2,buttonb,response_keyboard,568,,,green,1,1,0,0,,,,,,Practice Trials,GREENgreen.jpg,green,1,1
25,1707495863039,09/02/2024 16:24:23,1707495864288,1,09/02/2024 17:24:24,143617,34,task-yi7p,,34975091,zurx0,9856738,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1280x585,,,,Stroop Task,7,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,13,12,1,Screen 1,fixation,fixation,500.1000000000058,,,,,0,1,0,,,,,,Practice Trials,YELLOWblue.jpg,yellow,0,1
26,1707495863605,09/02/2024 16:24:23,1707495864849,1,09/02/2024 17:24:24,143617,34,task-yi7p,,34975091,zurx0,9856738,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1280x585,,,,Stroop Task,7,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,13,12,2,Screen 2,buttona,response_keyboard,553.9000000003725,,,yellow,1,1,0,0,,,,,,Practice Trials,YELLOWblue.jpg,yellow,0,1
27,1707495864384,09/02/2024 16:24:24,1707495865638,1,09/02/2024 17:24:25,143617,34,task-yi7p,,34975091,zurx0,9856738,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1280x585,,,,Stroop Task,7,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,14,13,1,Screen 1,fixation,fixation,499.8999999999942,,,,,0,1,0,,,,,,Practice Trials,YELLOWyellow.jpg,yellow,1,1
28,1707495864949,09/02/2024 16:24:24,1707495866151,1,09/02/2024 17:24:26,143617,34,task-yi7p,,34975091,zurx0,9856738,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1280x585,,,,Stroop Task,7,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,14,13,2,Screen 2,buttona,response_keyboard,506.8999999994412,,,yellow,1,1,0,0,,,,,,Practice Trials,YELLOWyellow.jpg,yellow,1,1
29,1707495865692,09/02/2024 16:24:25,1707495866938,1,09/02/2024 17:24:26,143617,34,task-yi7p,,34975091,zurx0,9856738,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1280x585,,,,Stroop Task,7,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,15,14,1,Screen 1,fixation,fixation,499.90000000000873,,,,,0,1,0,,,,,,Practice Trials,REDgreen.jpg,red,0,1
30,1707495866330,09/02/2024 16:24:26,1707495867574,1,09/02/2024 17:24:27,143617,34,task-yi7p,,34975091,zurx0,9856738,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1280x585,,,,Stroop Task,7,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,15,14,2,Screen 2,buttona,response_keyboard,626.8000000007451,,,red,1,1,0,0,,,,,,Practice Trials,REDgreen.jpg,red,0,1
31,1707495867101,09/02/2024 16:24:27,1707495868355,1,09/02/2024 17:24:28,143617,34,task-yi7p,,34975091,zurx0,9856738,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1280x585,,,,Stroop Task,7,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,16,15,1,Screen 1,fixation,fixation,499.90000000000873,,,,,0,1,0,,,,,,Practice Trials,BLUEyellow.jpg,blue,0,1
32,1707495868153,09/02/2024 16:24:28,1707495869396,1,09/02/2024 17:24:29,143617,34,task-yi7p,,34975091,zurx0,9856738,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1280x585,,,,Stroop Task,7,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,16,15,2,Screen 2,buttonb,response_keyboard,1031.7000000001863,,,blue,1,1,0,0,,,,,,Practice Trials,BLUEyellow.jpg,blue,0,1
33,1707495876720,09/02/2024 16:24:36,1707495877962,1,09/02/2024 17:24:37,143617,34,task-yi7p,,34975091,zurx0,9856738,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1280x585,,,,Stroop Task,7,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,17,1,1,Screen 1,button,continue_button,8267.799999999814,,,,,0,1,0,,,,,,Score,,,,
34,1707495886675,09/02/2024 16:24:46,1707495887929,1,09/02/2024 17:24:47,143617,34,task-yi7p,,34975091,zurx0,9856738,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1280x585,,,,Stroop Task,7,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,18,1,1,Screen 1,advancementZone,continue_button,9960.400000000373,,,,,0,1,0,,,,,,Ready.0,,,,
35,1707495887173,09/02/2024 16:24:47,1707495888418,1,09/02/2024 17:24:48,143617,34,task-yi7p,,34975091,zurx0,9856738,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1280x585,,,,Stroop Task,7,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,90,1,1,Screen 1,fixation,fixation,499.6000000000058,,,,,0,1,0,,,,,1,Trials,GREENgreen.jpg,green,1,0
36,1707495888633,09/02/2024 16:24:48,1707495889874,1,09/02/2024 17:24:49,143617,34,task-yi7p,,34975091,zurx0,9856738,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1280x585,,,,Stroop Task,7,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,90,1,2,Screen 2,buttonb,response_keyboard,1452,,,green,1,1,0,0,,,,,1,Trials,GREENgreen.jpg,green,1,0
37,1707495889130,09/02/2024 16:24:49,1707495890368,1,09/02/2024 17:24:50,143617,34,task-yi7p,,34975091,zurx0,9856738,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1280x585,,,,Stroop Task,7,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,56,2,1,Screen 1,fixation,fixation,500.19999999998254,,,,,0,1,0,,,,,1,Trials,REDblue.jpg,red,0,0
38,1707495889748,09/02/2024 16:24:49,1707495890988,1,09/02/2024 17:24:50,143617,34,task-yi7p,,34975091,zurx0,9856738,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1280x585,,,,Stroop Task,7,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,56,2,2,Screen 2,buttona,response_keyboard,614.5999999996275,,,red,1,1,0,0,,,,,1,Trials,REDblue.jpg,red,0,0
39,1707495890249,09/02/2024 16:24:50,1707495891485,1,09/02/2024 17:24:51,143617,34,task-yi7p,,34975091,zurx0,9856738,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1280x585,,,,Stroop Task,7,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,64,3,1,Screen 1,fixation,fixation,499.9000000000233,,,,,0,1,0,,,,,1,Trials,REDblue.jpg,red,0,0
40,1707495890775,09/02/2024 16:24:50,1707495892028,1,09/02/2024 17:24:52,143617,34,task-yi7p,,34975091,zurx0,9856738,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1280x585,,,,Stroop Task,7,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,64,3,2,Screen 2,buttona,response_keyboard,538,,,red,1,1,0,0,,,,,1,Trials,REDblue.jpg,red,0,0
41,1707495891266,09/02/2024 16:24:51,1707495892518,1,09/02/2024 17:24:52,143617,34,task-yi7p,,34975091,zurx0,9856738,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1280x585,,,,Stroop Task,7,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,45,4,1,Screen 1,fixation,fixation,499.80000000001746,,,,,0,1,0,,,,,1,Trials,BLUEyellow.jpg,blue,0,0
42,1707495891981,09/02/2024 16:24:51,1707495893224,1,09/02/2024 17:24:53,143617,34,task-yi7p,,34975091,zurx0,9856738,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1280x585,,,,Stroop Task,7,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,45,4,2,Screen 2,buttonb,response_keyboard,703.2999999998137,,,blue,1,1,0,0,,,,,1,Trials,BLUEyellow.jpg,blue,0,0
43,1707495892476,09/02/2024 16:24:52,1707495893718,1,09/02/2024 17:24:53,143617,34,task-yi7p,,34975091,zurx0,9856738,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1280x585,,,,Stroop Task,7,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,36,5,1,Screen 1,fixation,fixation,499.8999999999942,,,,,0,1,0,,,,,1,Trials,GREENred.jpg,green,0,0
44,1707495893148,09/02/2024 16:24:53,1707495894394,1,09/02/2024 17:24:54,143617,34,task-yi7p,,34975091,zurx0,9856738,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1280x585,,,,Stroop Task,7,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,36,5,2,Screen 2,buttonb,response_keyboard,670,,,green,1,1,0,0,,,,,1,Trials,GREENred.jpg,green,0,0
45,1707495893633,09/02/2024 16:24:53,1707495894884,1,09/02/2024 17:24:54,143617,34,task-yi7p,,34975091,zurx0,9856738,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1280x585,,,,Stroop Task,7,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,23,6,1,Screen 1,fixation,fixation,500,,,,,0,1,0,,,,,1,Trials,YELLOWgreen.jpg,yellow,0,0
46,1707495894359,09/02/2024 16:24:54,1707495895599,1,09/02/2024 17:24:55,143617,34,task-yi7p,,34975091,zurx0,9856738,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1280x585,,,,Stroop Task,7,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,23,6,2,Screen 2,buttona,response_keyboard,709.5,,,yellow,1,1,0,0,,,,,1,Trials,YELLOWgreen.jpg,yellow,0,0
47,1707495894830,09/02/2024 16:24:54,1707495896084,1,09/02/2024 17:24:56,143617,34,task-yi7p,,34975091,zurx0,9856738,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1280x585,,,,Stroop Task,7,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,27,7,1,Screen 1,fixation,fixation,500.1000000000058,,,,,0,1,0,,,,,1,Trials,YELLOWgreen.jpg,yellow,0,0
48,1707495895196,09/02/2024 16:24:55,1707495896450,1,09/02/2024 17:24:56,143617,34,task-yi7p,,34975091,zurx0,9856738,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1280x585,,,,Stroop Task,7,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,27,7,2,Screen 2,buttona,response_keyboard,361.3999999994412,,,yellow,1,1,0,0,,,,,1,Trials,YELLOWgreen.jpg,yellow,0,0
49,1707495895693,09/02/2024 16:24:55,1707495896934,1,09/02/2024 17:24:56,143617,34,task-yi7p,,34975091,zurx0,9856738,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1280x585,,,,Stroop Task,7,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,39,8,1,Screen 1,fixation,fixation,499.8999999999942,,,,,0,1,0,,,,,1,Trials,GREENblue.jpg,green,0,0
50,1707495897377,09/02/2024 16:24:57,1707495898628,1,09/02/2024 17:24:58,143617,34,task-yi7p,,34975091,zurx0,9856738,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1280x585,,,,Stroop Task,7,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,39,8,2,Screen 2,buttonb,response_keyboard,1687.2999999998137,,,green,1,1,0,0,,,,,1,Trials,GREENblue.jpg,green,0,0
51,1707495897886,09/02/2024 16:24:57,1707495899117,1,09/02/2024 17:24:59,143617,34,task-yi7p,,34975091,zurx0,9856738,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1280x585,,,,Stroop Task,7,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,43,9,1,Screen 1,fixation,fixation,499.9000000000233,,,,,0,1,0,,,,,1,Trials,BLUEgreen.jpg,blue,0,0
52,1707495900354,09/02/2024 16:25:00,1707495901607,1,09/02/2024 17:25:01,143617,34,task-yi7p,,34975091,zurx0,9856738,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1280x585,,,,Stroop Task,7,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,43,9,2,Screen 2,buttonb,response_keyboard,2485.7000000001863,,,blue,1,1,0,0,,,,,1,Trials,BLUEgreen.jpg,blue,0,0
53,1707495900857,09/02/2024 16:25:00,1707495902100,1,09/02/2024 17:25:02,143617,34,task-yi7p,,34975091,zurx0,9856738,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1280x585,,,,Stroop Task,7,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,82,10,1,Screen 1,fixation,fixation,499.79999999998836,,,,,0,1,0,,,,,1,Trials,BLUEblue.jpg,blue,1,0
