Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-5g79,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,d1,answer,TimedSection,listLength,,ItemNo
1,1715078293646,07/05/2024 10:38:13,1715078300054,2,07/05/2024 12:38:20,143617,34,task-2f5q,,37519610,jbug1,9856764,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 125.0,1920x1080,1920x947,,,,"1. Digit Span task (forward, backward)",8,Stroop ,ListA,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,
2,1715078317179,07/05/2024 10:38:37,1715078323627,2,07/05/2024 12:38:43,143617,34,task-2f5q,,37519610,jbug1,9856764,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 125.0,1920x1080,1920x947,,,,"1. Digit Span task (forward, backward)",8,Stroop ,ListA,ListA,1,1,1,Screen 1,button,continue_button,23559,,,,,0,1,0,,,,,,Instructions,,,,,,
3,1715078358645,07/05/2024 10:39:18,1715078365042,2,07/05/2024 12:39:25,143617,34,task-2f5q,,37519610,jbug1,9856764,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 125.0,1920x1080,1920x947,,,,"1. Digit Span task (forward, backward)",8,Stroop ,ListA,ListA,2,1,1,Screen 4,advancementZone,continue_button,41406,,,,,0,1,0,,,,,,Instructions Digit Forwards,,,,,,
4,1715078358896,07/05/2024 10:39:18,1715078365342,2,07/05/2024 12:39:25,143617,34,task-2f5q,,37519610,jbug1,9856764,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 125.0,1920x1080,1920x947,,,,"1. Digit Span task (forward, backward)",8,Stroop ,ListA,ListA,3,1,1,Screen 1,fixation,fixation,299.9800000000105,,,,,0,1,0,,,,,,Task,"<p style=""font-size: 700%;""> 5</p>",,,3,,
5,1715078359933,07/05/2024 10:39:19,1715078366340,2,07/05/2024 12:39:26,143617,34,task-2f5q,,37519610,jbug1,9856764,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 125.0,1920x1080,1920x947,,,,"1. Digit Span task (forward, backward)",8,Stroop ,ListA,ListA,3,1,2,Screen 2,Zone2,timelimit_screen,999.9599999999919,,,,,0,1,0,,,1,,,Task,"<p style=""font-size: 700%;""> 5</p>",,,3,,
6,1715078360212,07/05/2024 10:39:20,1715078366641,2,07/05/2024 12:39:26,143617,34,task-2f5q,,37519610,jbug1,9856764,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 125.0,1920x1080,1920x947,,,,"1. Digit Span task (forward, backward)",8,Stroop ,ListA,ListA,4,2,1,Screen 1,fixation,fixation,300,,,,,0,1,0,,,,,,Task,"<p style=""font-size: 700%;"">7</p>",,,3,,
7,1715078361192,07/05/2024 10:39:21,1715078367642,2,07/05/2024 12:39:27,143617,34,task-2f5q,,37519610,jbug1,9856764,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 125.0,1920x1080,1920x947,,,,"1. Digit Span task (forward, backward)",8,Stroop ,ListA,ListA,4,2,2,Screen 2,Zone2,timelimit_screen,1001.3600000000006,,,,,0,1,0,,,1,,,Task,"<p style=""font-size: 700%;"">7</p>",,,3,,
8,1715078361508,07/05/2024 10:39:21,1715078367942,2,07/05/2024 12:39:27,143617,34,task-2f5q,,37519610,jbug1,9856764,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 125.0,1920x1080,1920x947,,,,"1. Digit Span task (forward, backward)",8,Stroop ,ListA,ListA,5,3,1,Screen 1,fixation,fixation,299.9799999999959,,,,,0,1,0,,,,,,Task,"<p style=""font-size: 700%;"">9</p>",,,3,,
9,1715078362494,07/05/2024 10:39:22,1715078368949,2,07/05/2024 12:39:28,143617,34,task-2f5q,,37519610,jbug1,9856764,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 125.0,1920x1080,1920x947,,,,"1. Digit Span task (forward, backward)",8,Stroop ,ListA,ListA,5,3,2,Screen 2,Zone2,timelimit_screen,999.9600000000064,,,,,0,1,0,,,1,,,Task,"<p style=""font-size: 700%;"">9</p>",,,3,,
10,1715078365655,07/05/2024 10:39:25,1715078372087,2,07/05/2024 12:39:32,143617,34,task-2f5q,,37519610,jbug1,9856764,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 125.0,1920x1080,1920x947,,,,"1. Digit Span task (forward, backward)",8,Stroop ,ListA,ListA,6,1,1,Screen 1,Zone2,response_text_entry,831,,Enter Key,579,1,1,0,0,,,,,,Test_Forwards,,579,8000,3,,F3_1
