Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-5g79,rt,stimulus,key_press,test_part,correct_response,trial_type,trial_index,time_elapsed,internal_node_id,correct,success,browser_events,view_history,grid,target,p_or_r,block,first_response,trial_number,sequence,is_practice,correct_pos,correct_resp_button,resp_button,cumulative_RT,actual_triplet,triplet_type
1,1715075922043,07/05/2024 09:58:42,1715075928396,2,07/05/2024 11:58:48,143617,34,task-vmxp,,37517245,jbug1,9856764,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 125.0,1920x1080,1920x1080,,,,Alternating Serial Reaction Time (ASRT) task,5,Stroop ,,,,,,fullscreen,0,8916,0.0-0.0,,1,"[{""event"":""blur"",""trial"":0,""time"":3178},{""event"":""focus"",""trial"":0,""time"":4468},{""event"":""fullscreenenter"",""trial"":0,""time"":8099}]",,,,,,,,,,,,,,,
2,1715075970111,07/05/2024 09:59:30,1715075976512,2,07/05/2024 11:59:36,143617,34,task-vmxp,,37517245,jbug1,9856764,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 125.0,1920x1080,1920x1080,,,,Alternating Serial Reaction Time (ASRT) task,5,Stroop ,48107,,,,,instructions,1,57032,0.0-1.0,,,[],"[{""page_index"":0,""viewing_time"":38656},{""page_index"":1,""viewing_time"":9451}]",,,,,,,,,,,,,,
3,1715075973917,07/05/2024 09:59:33,1715075980332,2,07/05/2024 11:59:40,143617,34,task-vmxp,,37517245,jbug1,9856764,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 125.0,1920x1080,1920x1080,,,,Alternating Serial Reaction Time (ASRT) task,5,Stroop ,3806,"<h2>Now a short practice will start.</h2>
        <p>Please place your fingers in this position on the keyboard:</p>
        <img src=/task/752107/5/asset/keyboard.bmp height='10%'>
        <p><strong>If you are ready, press <strong>any</strong> key to start a practice!</strong></p>",76,,,html-keyboard-response,2,60852,0.0-2.0,,,[],,,,,,,,,,,,,,,
4,1715075974530,07/05/2024 09:59:34,1715075980952,2,07/05/2024 11:59:40,143617,34,task-vmxp,,37517245,jbug1,9856764,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 125.0,1920x1080,1920x1080,,,,Alternating Serial Reaction Time (ASRT) task,5,Stroop ,607,,76,,,serial-reaction-time,3,61472,0.0-3.0-0.0,1,,[],,"[[1,1,1,1]]","[0,3]",R,1,1,1,1432,1,4,l,l,607,4,X
5,1715075975540,07/05/2024 09:59:35,1715075981945,2,07/05/2024 11:59:41,143617,34,task-vmxp,,37517245,jbug1,9856764,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 125.0,1920x1080,1920x1080,,,,Alternating Serial Reaction Time (ASRT) task,5,Stroop ,478,,83,,,serial-reaction-time,4,62465,0.0-14.0-0.0,1,,[],,"[[1,1,1,1]]","[0,0]",R,1,1,2,1432,1,1,s,s,478,41,X
6,1715075976495,07/05/2024 09:59:36,1715075982876,2,07/05/2024 11:59:42,143617,34,task-vmxp,,37517245,jbug1,9856764,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 125.0,1920x1080,1920x1080,,,,Alternating Serial Reaction Time (ASRT) task,5,Stroop ,414,,83,,,serial-reaction-time,5,63396,0.0-25.0-0.0,1,,[],,"[[1,1,1,1]]","[0,0]",R,1,1,3,1432,1,1,s,s,414,411,X
7,1715075977369,07/05/2024 09:59:37,1715075983786,2,07/05/2024 11:59:43,143617,34,task-vmxp,,37517245,jbug1,9856764,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 125.0,1920x1080,1920x1080,,,,Alternating Serial Reaction Time (ASRT) task,5,Stroop ,392,,83,,,serial-reaction-time,6,64305,0.0-36.0-0.0,1,,[],,"[[1,1,1,1]]","[0,0]",R,1,1,4,1432,1,1,s,s,392,111,X
8,1715075978273,07/05/2024 09:59:38,1715075984691,2,07/05/2024 11:59:44,143617,34,task-vmxp,,37517245,jbug1,9856764,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 125.0,1920x1080,1920x1080,,,,Alternating Serial Reaction Time (ASRT) task,5,Stroop ,384,,76,,,serial-reaction-time,7,65211,0.0-47.0-0.0,1,,[],,"[[1,1,1,1]]","[0,3]",R,1,1,5,1432,1,4,l,l,384,114,X
9,1715075979157,07/05/2024 09:59:39,1715075985580,2,07/05/2024 11:59:45,143617,34,task-vmxp,,37517245,jbug1,9856764,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 125.0,1920x1080,1920x1080,,,,Alternating Serial Reaction Time (ASRT) task,5,Stroop ,368,,70,,,serial-reaction-time,8,66099,0.0-58.0-0.0,1,,[],,"[[1,1,1,1]]","[0,1]",R,1,1,6,1432,1,2,f,f,368,142,X
10,1715075980061,07/05/2024 09:59:40,1715075986475,2,07/05/2024 11:59:46,143617,34,task-vmxp,,37517245,jbug1,9856764,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 125.0,1920x1080,1920x1080,,,,Alternating Serial Reaction Time (ASRT) task,5,Stroop ,378,,83,,,serial-reaction-time,9,66995,0.0-69.0-0.0,1,,[],,"[[1,1,1,1]]","[0,0]",R,1,1,7,1432,1,1,s,s,378,421,X
