Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-5g79,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,Stimulus,Answer,Congruency,Practice
1,1715075437544,07/05/2024 09:50:37,1715075443849,2,07/05/2024 11:50:43,143617,34,task-vqb9,,37516899,jbug1,9856764,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 125.0,1920x1080,1920x947,,,,Stroop Task,7,Stroop ,spreadsheet_stroop_100,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,
2,1715075479110,07/05/2024 09:51:19,1715075485490,2,07/05/2024 11:51:25,143617,34,task-vqb9,,37516899,jbug1,9856764,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 125.0,1920x1080,1920x947,,,,Stroop Task,7,Stroop ,spreadsheet_stroop_100,spreadsheet_stroop_100,1,1,1,Screen 1,button,continue_keyboard,41125,,,,,0,1,0,,,,,,Instructions,,,,
3,1715075479593,07/05/2024 09:51:19,1715075485985,2,07/05/2024 11:51:25,143617,34,task-vqb9,,37516899,jbug1,9856764,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 125.0,1920x1080,1920x947,,,,Stroop Task,7,Stroop ,spreadsheet_stroop_100,spreadsheet_stroop_100,2,1,1,Screen 1,fixation,fixation,499.9799999999959,,,,,0,1,0,,,,,,Practice Trials,REDred.jpg,red,1,1
4,1715075480331,07/05/2024 09:51:20,1715075486708,2,07/05/2024 11:51:26,143617,34,task-vqb9,,37516899,jbug1,9856764,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 125.0,1920x1080,1920x947,,,,Stroop Task,7,Stroop ,spreadsheet_stroop_100,spreadsheet_stroop_100,2,1,2,Screen 2,buttona,response_keyboard,706,,,red,1,1,0,0,,,,,,Practice Trials,REDred.jpg,red,1,1
5,1715075481091,07/05/2024 09:51:21,1715075487502,2,07/05/2024 11:51:27,143617,34,task-vqb9,,37516899,jbug1,9856764,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 125.0,1920x1080,1920x947,,,,Stroop Task,7,Stroop ,spreadsheet_stroop_100,spreadsheet_stroop_100,3,2,1,Screen 1,fixation,fixation,499.9400000000023,,,,,0,1,0,,,,,,Practice Trials,YELLOWblue.jpg,yellow,0,1
6,1715075481703,07/05/2024 09:51:21,1715075488115,2,07/05/2024 11:51:28,143617,34,task-vqb9,,37516899,jbug1,9856764,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 125.0,1920x1080,1920x947,,,,Stroop Task,7,Stroop ,spreadsheet_stroop_100,spreadsheet_stroop_100,3,2,2,Screen 2,buttona,response_keyboard,598,,,yellow,1,1,0,0,,,,,,Practice Trials,YELLOWblue.jpg,yellow,0,1
7,1715075482516,07/05/2024 09:51:22,1715075488902,2,07/05/2024 11:51:28,143617,34,task-vqb9,,37516899,jbug1,9856764,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 125.0,1920x1080,1920x947,,,,Stroop Task,7,Stroop ,spreadsheet_stroop_100,spreadsheet_stroop_100,4,3,1,Screen 1,fixation,fixation,499.9799999999959,,,,,0,1,0,,,,,,Practice Trials,YELLOWyellow.jpg,yellow,1,1
8,1715075483692,07/05/2024 09:51:23,1715075490098,2,07/05/2024 11:51:30,143617,34,task-vqb9,,37516899,jbug1,9856764,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 125.0,1920x1080,1920x947,,,,Stroop Task,7,Stroop ,spreadsheet_stroop_100,spreadsheet_stroop_100,4,3,2,Screen 2,buttona,response_keyboard,1182,,,yellow,1,1,0,0,,,,,,Practice Trials,YELLOWyellow.jpg,yellow,1,1
9,1715075484519,07/05/2024 09:51:24,1715075490893,2,07/05/2024 11:51:30,143617,34,task-vqb9,,37516899,jbug1,9856764,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 125.0,1920x1080,1920x947,,,,Stroop Task,7,Stroop ,spreadsheet_stroop_100,spreadsheet_stroop_100,5,4,1,Screen 1,fixation,fixation,499.9800000000032,,,,,0,1,0,,,,,,Practice Trials,REDgreen.jpg,red,0,1
10,1715075485128,07/05/2024 09:51:25,1715075491473,2,07/05/2024 11:51:31,143617,34,task-vqb9,,37516899,jbug1,9856764,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 125.0,1920x1080,1920x947,,,,Stroop Task,7,Stroop ,spreadsheet_stroop_100,spreadsheet_stroop_100,5,4,2,Screen 2,buttona,response_keyboard,573,,,red,1,1,0,0,,,,,,Practice Trials,REDgreen.jpg,red,0,1
11,1715075485892,07/05/2024 09:51:25,1715075492269,2,07/05/2024 11:51:32,143617,34,task-vqb9,,37516899,jbug1,9856764,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 125.0,1920x1080,1920x947,,,,Stroop Task,7,Stroop ,spreadsheet_stroop_100,spreadsheet_stroop_100,6,5,1,Screen 1,fixation,fixation,499.9800000000032,,,,,0,1,0,,,,,,Practice Trials,BLUEyellow.jpg,blue,0,1
12,1715075486898,07/05/2024 09:51:26,1715075493300,2,07/05/2024 11:51:33,143617,34,task-vqb9,,37516899,jbug1,9856764,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 125.0,1920x1080,1920x947,,,,Stroop Task,7,Stroop ,spreadsheet_stroop_100,spreadsheet_stroop_100,6,5,2,Screen 2,buttonb,response_keyboard,1016,,,blue,1,1,0,0,,,,,,Practice Trials,BLUEyellow.jpg,blue,0,1
13,1715075487691,07/05/2024 09:51:27,1715075494094,2,07/05/2024 11:51:34,143617,34,task-vqb9,,37516899,jbug1,9856764,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 125.0,1920x1080,1920x947,,,,Stroop Task,7,Stroop ,spreadsheet_stroop_100,spreadsheet_stroop_100,7,6,1,Screen 1,fixation,fixation,499.9799999999959,,,,,0,1,0,,,,,,Practice Trials,GREENred.jpg,green,0,1
14,1715075488663,07/05/2024 09:51:28,1715075495073,2,07/05/2024 11:51:35,143617,34,task-vqb9,,37516899,jbug1,9856764,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 125.0,1920x1080,1920x947,,,,Stroop Task,7,Stroop ,spreadsheet_stroop_100,spreadsheet_stroop_100,7,6,2,Screen 2,buttonb,response_keyboard,967,,,blue,1,0,1,0,,,,,,Practice Trials,GREENred.jpg,green,0,1
15,1715075489458,07/05/2024 09:51:29,1715075495861,2,07/05/2024 11:51:35,143617,34,task-vqb9,,37516899,jbug1,9856764,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 125.0,1920x1080,1920x947,,,,Stroop Task,7,Stroop ,spreadsheet_stroop_100,spreadsheet_stroop_100,8,7,1,Screen 1,fixation,fixation,499.9800000000032,,,,,0,1,0,,,,,,Practice Trials,BLUEyellow.jpg,blue,0,1
16,1715075490983,07/05/2024 09:51:30,1715075497395,2,07/05/2024 11:51:37,143617,34,task-vqb9,,37516899,jbug1,9856764,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 125.0,1920x1080,1920x947,,,,Stroop Task,7,Stroop ,spreadsheet_stroop_100,spreadsheet_stroop_100,8,7,2,Screen 2,buttonb,response_keyboard,1525,,,blue,1,1,0,0,,,,,,Practice Trials,BLUEyellow.jpg,blue,0,1
17,1715075491786,07/05/2024 09:51:31,1715075498187,2,07/05/2024 11:51:38,143617,34,task-vqb9,,37516899,jbug1,9856764,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 125.0,1920x1080,1920x947,,,,Stroop Task,7,Stroop ,spreadsheet_stroop_100,spreadsheet_stroop_100,9,8,1,Screen 1,fixation,fixation,499.9799999999959,,,,,0,1,0,,,,,,Practice Trials,BLUEred.jpg,blue,0,1
18,1715075492586,07/05/2024 09:51:32,1715075498961,2,07/05/2024 11:51:38,143617,34,task-vqb9,,37516899,jbug1,9856764,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 125.0,1920x1080,1920x947,,,,Stroop Task,7,Stroop ,spreadsheet_stroop_100,spreadsheet_stroop_100,9,8,2,Screen 2,buttonb,response_keyboard,762,,,blue,1,1,0,0,,,,,,Practice Trials,BLUEred.jpg,blue,0,1
19,1715075493353,07/05/2024 09:51:33,1715075499754,2,07/05/2024 11:51:39,143617,34,task-vqb9,,37516899,jbug1,9856764,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 125.0,1920x1080,1920x947,,,,Stroop Task,7,Stroop ,spreadsheet_stroop_100,spreadsheet_stroop_100,10,9,1,Screen 1,fixation,fixation,499.9799999999959,,,,,0,1,0,,,,,,Practice Trials,GREENblue.jpg,green,0,1
20,1715075493927,07/05/2024 09:51:33,1715075500307,2,07/05/2024 11:51:40,143617,34,task-vqb9,,37516899,jbug1,9856764,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 125.0,1920x1080,1920x947,,,,Stroop Task,7,Stroop ,spreadsheet_stroop_100,spreadsheet_stroop_100,10,9,2,Screen 2,buttonb,response_keyboard,539,,,green,1,1,0,0,,,,,,Practice Trials,GREENblue.jpg,green,0,1
21,1715075494699,07/05/2024 09:51:34,1715075501095,2,07/05/2024 11:51:41,143617,34,task-vqb9,,37516899,jbug1,9856764,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 125.0,1920x1080,1920x947,,,,Stroop Task,7,Stroop ,spreadsheet_stroop_100,spreadsheet_stroop_100,11,10,1,Screen 1,fixation,fixation,499.9800000000032,,,,,0,1,0,,,,,,Practice Trials,GREENred.jpg,green,0,1
22,1715075495234,07/05/2024 09:51:35,1715075501647,2,07/05/2024 11:51:41,143617,34,task-vqb9,,37516899,jbug1,9856764,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 125.0,1920x1080,1920x947,,,,Stroop Task,7,Stroop ,spreadsheet_stroop_100,spreadsheet_stroop_100,11,10,2,Screen 2,buttonb,response_keyboard,542,,,green,1,1,0,0,,,,,,Practice Trials,GREENred.jpg,green,0,1
23,1715075496083,07/05/2024 09:51:36,1715075502437,2,07/05/2024 11:51:42,143617,34,task-vqb9,,37516899,jbug1,9856764,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 125.0,1920x1080,1920x947,,,,Stroop Task,7,Stroop ,spreadsheet_stroop_100,spreadsheet_stroop_100,12,11,1,Screen 1,fixation,fixation,499.9799999999959,,,,,0,1,0,,,,,,Practice Trials,GREENgreen.jpg,green,1,1
24,1715075496564,07/05/2024 09:51:36,1715075502940,2,07/05/2024 11:51:42,143617,34,task-vqb9,,37516899,jbug1,9856764,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 125.0,1920x1080,1920x947,,,,Stroop Task,7,Stroop ,spreadsheet_stroop_100,spreadsheet_stroop_100,12,11,2,Screen 2,buttonb,response_keyboard,493,,,green,1,1,0,0,,,,,,Practice Trials,GREENgreen.jpg,green,1,1
25,1715075497348,07/05/2024 09:51:37,1715075503737,2,07/05/2024 11:51:43,143617,34,task-vqb9,,37516899,jbug1,9856764,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 125.0,1920x1080,1920x947,,,,Stroop Task,7,Stroop ,spreadsheet_stroop_100,spreadsheet_stroop_100,13,12,1,Screen 1,fixation,fixation,499.9800000000032,,,,,0,1,0,,,,,,Practice Trials,YELLOWblue.jpg,yellow,0,1
26,1715075497994,07/05/2024 09:51:37,1715075504403,2,07/05/2024 11:51:44,143617,34,task-vqb9,,37516899,jbug1,9856764,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 125.0,1920x1080,1920x947,,,,Stroop Task,7,Stroop ,spreadsheet_stroop_100,spreadsheet_stroop_100,13,12,2,Screen 2,buttona,response_keyboard,658,,,yellow,1,1,0,0,,,,,,Practice Trials,YELLOWblue.jpg,yellow,0,1
27,1715075498800,07/05/2024 09:51:38,1715075505195,2,07/05/2024 11:51:45,143617,34,task-vqb9,,37516899,jbug1,9856764,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 125.0,1920x1080,1920x947,,,,Stroop Task,7,Stroop ,spreadsheet_stroop_100,spreadsheet_stroop_100,14,13,1,Screen 1,fixation,fixation,499.9800000000032,,,,,0,1,0,,,,,,Practice Trials,YELLOWyellow.jpg,yellow,1,1
28,1715075499294,07/05/2024 09:51:39,1715075505697,2,07/05/2024 11:51:45,143617,34,task-vqb9,,37516899,jbug1,9856764,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 125.0,1920x1080,1920x947,,,,Stroop Task,7,Stroop ,spreadsheet_stroop_100,spreadsheet_stroop_100,14,13,2,Screen 2,buttona,response_keyboard,488,,,yellow,1,1,0,0,,,,,,Practice Trials,YELLOWyellow.jpg,yellow,1,1
29,1715075500105,07/05/2024 09:51:40,1715075506488,2,07/05/2024 11:51:46,143617,34,task-vqb9,,37516899,jbug1,9856764,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 125.0,1920x1080,1920x947,,,,Stroop Task,7,Stroop ,spreadsheet_stroop_100,spreadsheet_stroop_100,15,14,1,Screen 1,fixation,fixation,499.9799999999959,,,,,0,1,0,,,,,,Practice Trials,REDgreen.jpg,red,0,1
30,1715075500543,07/05/2024 09:51:40,1715075506946,2,07/05/2024 11:51:46,143617,34,task-vqb9,,37516899,jbug1,9856764,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 125.0,1920x1080,1920x947,,,,Stroop Task,7,Stroop ,spreadsheet_stroop_100,spreadsheet_stroop_100,15,14,2,Screen 2,buttona,response_keyboard,445,,,red,1,1,0,0,,,,,,Practice Trials,REDgreen.jpg,red,0,1
31,1715075501332,07/05/2024 09:51:41,1715075507738,2,07/05/2024 11:51:47,143617,34,task-vqb9,,37516899,jbug1,9856764,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 125.0,1920x1080,1920x947,,,,Stroop Task,7,Stroop ,spreadsheet_stroop_100,spreadsheet_stroop_100,16,15,1,Screen 1,fixation,fixation,499.9799999999959,,,,,0,1,0,,,,,,Practice Trials,BLUEyellow.jpg,blue,0,1
32,1715075501919,07/05/2024 09:51:41,1715075508322,2,07/05/2024 11:51:48,143617,34,task-vqb9,,37516899,jbug1,9856764,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 125.0,1920x1080,1920x947,,,,Stroop Task,7,Stroop ,spreadsheet_stroop_100,spreadsheet_stroop_100,16,15,2,Screen 2,buttonb,response_keyboard,574,,,blue,1,1,0,0,,,,,,Practice Trials,BLUEyellow.jpg,blue,0,1
33,1715075506752,07/05/2024 09:51:46,1715075513133,2,07/05/2024 11:51:53,143617,34,task-vqb9,,37516899,jbug1,9856764,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 125.0,1920x1080,1920x947,,,,Stroop Task,7,Stroop ,spreadsheet_stroop_100,spreadsheet_stroop_100,17,1,1,Screen 1,button,continue_button,4511,,,,,0,1,0,,,,,,Score,,,,
34,1715075515273,07/05/2024 09:51:55,1715075521682,2,07/05/2024 11:52:01,143617,34,task-vqb9,,37516899,jbug1,9856764,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 125.0,1920x1080,1920x947,,,,Stroop Task,7,Stroop ,spreadsheet_stroop_100,spreadsheet_stroop_100,18,1,1,Screen 1,advancementZone,continue_button,8539,,,,,0,1,0,,,,,,Ready.0,,,,
35,1715075515781,07/05/2024 09:51:55,1715075522182,2,07/05/2024 11:52:02,143617,34,task-vqb9,,37516899,jbug1,9856764,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 125.0,1920x1080,1920x947,,,,Stroop Task,7,Stroop ,spreadsheet_stroop_100,spreadsheet_stroop_100,35,1,1,Screen 1,fixation,fixation,499.9800000000105,,,,,0,1,0,,,,,1,Trials,GREENblue.jpg,green,0,0
36,1715075516923,07/05/2024 09:51:56,1715075523311,2,07/05/2024 11:52:03,143617,34,task-vqb9,,37516899,jbug1,9856764,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 125.0,1920x1080,1920x947,,,,Stroop Task,7,Stroop ,spreadsheet_stroop_100,spreadsheet_stroop_100,35,1,2,Screen 2,buttonb,response_keyboard,1119,,,green,1,1,0,0,,,,,1,Trials,GREENblue.jpg,green,0,0
37,1715075517407,07/05/2024 09:51:57,1715075523807,2,07/05/2024 11:52:03,143617,34,task-vqb9,,37516899,jbug1,9856764,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 125.0,1920x1080,1920x947,,,,Stroop Task,7,Stroop ,spreadsheet_stroop_100,spreadsheet_stroop_100,107,2,1,Screen 1,fixation,fixation,499.9800000000105,,,,,0,1,0,,,,,1,Trials,GREENgreen.jpg,green,1,0
