Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-5g79,rt,stimulus,key_press,test_part,correct_response,trial_type,trial_index,time_elapsed,internal_node_id,correct,success,browser_events,view_history,grid,target,p_or_r,block,first_response,trial_number,sequence,is_practice,correct_pos,correct_resp_button,resp_button,cumulative_RT,actual_triplet,triplet_type
1,1715792883601,15/05/2024 17:08:03,1715792883464,2,15/05/2024 19:08:03,143617,34,task-7kgt,,37673450,tpxp2,9856751,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 124.0.0.0,1440x900,1440x900,,,,Alternating Serial Reaction Time (ASRT) task,5,DGS,,,,,,fullscreen,0,10754,0.0-0.0,,1,"[{""event"":""fullscreenenter"",""trial"":0,""time"":9757}]",,,,,,,,,,,,,,,
2,1715792946189,15/05/2024 17:09:06,1715792946115,2,15/05/2024 19:09:06,143617,34,task-7kgt,,37673450,tpxp2,9856751,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 124.0.0.0,1440x900,1440x900,,,,Alternating Serial Reaction Time (ASRT) task,5,DGS,62635.299999952316,,,,,instructions,1,73406,0.0-1.0,,,[],"[{""page_index"":0,""viewing_time"":38502.39999997616},{""page_index"":1,""viewing_time"":24132}]",,,,,,,,,,,,,,
3,1715792957811,15/05/2024 17:09:17,1715792957724,2,15/05/2024 19:09:17,143617,34,task-7kgt,,37673450,tpxp2,9856751,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 124.0.0.0,1440x900,1440x900,,,,Alternating Serial Reaction Time (ASRT) task,5,DGS,11588.299999952316,"<h2>Now a short practice will start.</h2>
        <p>Please place your fingers in this position on the keyboard:</p>
        <img src=/task/752107/5/asset/keyboard.bmp height='10%'>
        <p><strong>If you are ready, press <strong>any</strong> key to start a practice!</strong></p>",83,,,html-keyboard-response,2,85015,0.0-2.0,,,[],,,,,,,,,,,,,,,
4,1715792958546,15/05/2024 17:09:18,1715792958457,2,15/05/2024 19:09:18,143617,34,task-7kgt,,37673450,tpxp2,9856751,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 124.0.0.0,1440x900,1440x900,,,,Alternating Serial Reaction Time (ASRT) task,5,DGS,700.1000000238419,,76,,,serial-reaction-time,3,85748,0.0-3.0-0.0,1,,[],,"[[1,1,1,1]]","[0,3]",R,1,1,1,2314,1,4,l,l,700.1000000238419,4,X
5,1715792959626,15/05/2024 17:09:19,1715792959553,2,15/05/2024 19:09:19,143617,34,task-7kgt,,37673450,tpxp2,9856751,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 124.0.0.0,1440x900,1440x900,,,,Alternating Serial Reaction Time (ASRT) task,5,DGS,573.8000000715256,,74,,,serial-reaction-time,4,86844,0.0-14.0-0.0,1,,[],,"[[1,1,1,1]]","[0,2]",R,1,1,2,2314,1,3,j,j,573.8000000715256,43,X
6,1715792960745,15/05/2024 17:09:20,1715792960658,2,15/05/2024 19:09:20,143617,34,task-7kgt,,37673450,tpxp2,9856751,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 124.0.0.0,1440x900,1440x900,,,,Alternating Serial Reaction Time (ASRT) task,5,DGS,582.6000000238419,,70,,,serial-reaction-time,5,87949,0.0-25.0-0.0,1,,[],,"[[1,1,1,1]]","[0,1]",R,1,1,3,2314,1,2,f,f,582.6000000238419,432,X
7,1715792961813,15/05/2024 17:09:21,1715792961738,2,15/05/2024 19:09:21,143617,34,task-7kgt,,37673450,tpxp2,9856751,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 124.0.0.0,1440x900,1440x900,,,,Alternating Serial Reaction Time (ASRT) task,5,DGS,559.2000000476837,,74,,,serial-reaction-time,6,89029,0.0-36.0-0.0,1,,[],,"[[1,1,1,1]]","[0,2]",R,1,1,4,2314,1,3,j,j,559.2000000476837,323,X
8,1715792962677,15/05/2024 17:09:22,1715792962593,2,15/05/2024 19:09:22,143617,34,task-7kgt,,37673450,tpxp2,9856751,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 124.0.0.0,1440x900,1440x900,,,,Alternating Serial Reaction Time (ASRT) task,5,DGS,333.7000000476837,,83,,,serial-reaction-time,7,89884,0.0-47.0-0.0,1,,[],,"[[1,1,1,1]]","[0,0]",R,1,1,5,2314,1,1,s,s,333.7000000476837,231,X
9,1715792963665,15/05/2024 17:09:23,1715792963602,2,15/05/2024 19:09:23,143617,34,task-7kgt,,37673450,tpxp2,9856751,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 124.0.0.0,1440x900,1440x900,,,,Alternating Serial Reaction Time (ASRT) task,5,DGS,486.10000002384186,,74,,,serial-reaction-time,8,90892,0.0-58.0-0.0,1,,[],,"[[1,1,1,1]]","[0,2]",R,1,1,6,2314,1,3,j,j,486.10000002384186,313,X
10,1715792964529,15/05/2024 17:09:24,1715792964449,2,15/05/2024 19:09:24,143617,34,task-7kgt,,37673450,tpxp2,9856751,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 124.0.0.0,1440x900,1440x900,,,,Alternating Serial Reaction Time (ASRT) task,5,DGS,327,,70,,,serial-reaction-time,9,91740,0.0-69.0-0.0,1,,[],,"[[1,1,1,1]]","[0,1]",R,1,1,7,2314,1,2,f,f,327,132,X
11,1715792965550,15/05/2024 17:09:25,1715792965464,2,15/05/2024 19:09:25,143617,34,task-7kgt,,37673450,tpxp2,9856751,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 124.0.0.0,1440x900,1440x900,,,,Alternating Serial Reaction Time (ASRT) task,5,DGS,493.5,,74,,,serial-reaction-time,10,92755,0.0-80.0-0.0,1,,[],,"[[1,1,1,1]]","[0,2]",R,1,1,8,2314,1,3,j,j,493.5,323,X
12,1715792966491,15/05/2024 17:09:26,1715792966397,2,15/05/2024 19:09:26,143617,34,task-7kgt,,37673450,tpxp2,9856751,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 124.0.0.0,1440x900,1440x900,,,,Alternating Serial Reaction Time (ASRT) task,5,DGS,412.60000002384186,,70,,,serial-reaction-time,11,93688,0.0-91.0-0.0,1,,[],,"[[1,1,1,1]]","[0,1]",R,1,1,9,2314,1,2,f,f,412.60000002384186,232,X
13,1715792967320,15/05/2024 17:09:27,1715792967246,2,15/05/2024 19:09:27,143617,34,task-7kgt,,37673450,tpxp2,9856751,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 124.0.0.0,1440x900,1440x900,,,,Alternating Serial Reaction Time (ASRT) task,5,DGS,326.1999999284744,,74,,,serial-reaction-time,12,94537,0.0-102.0-0.0,1,,[],,"[[1,1,1,1]]","[0,2]",R,1,1,10,2314,1,3,j,j,326.1999999284744,323,X
14,1715792968225,15/05/2024 17:09:28,1715792968146,2,15/05/2024 19:09:28,143617,34,task-7kgt,,37673450,tpxp2,9856751,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 124.0.0.0,1440x900,1440x900,,,,Alternating Serial Reaction Time (ASRT) task,5,DGS,379.89999997615814,,70,,,serial-reaction-time,13,95437,0.0-113.0-0.0,1,,[],,"[[1,1,1,1]]","[0,1]",R,1,1,11,2314,1,2,f,f,379.89999997615814,232,X
15,1715792969206,15/05/2024 17:09:29,1715792969126,2,15/05/2024 19:09:29,143617,34,task-7kgt,,37673450,tpxp2,9856751,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 124.0.0.0,1440x900,1440x900,,,,Alternating Serial Reaction Time (ASRT) task,5,DGS,457.89999997615814,,76,,,serial-reaction-time,14,96417,0.0-124.0-0.0,1,,[],,"[[1,1,1,1]]","[0,3]",R,1,1,12,2314,1,4,l,l,457.89999997615814,324,X
16,1715792970129,15/05/2024 17:09:30,1715792970050,2,15/05/2024 19:09:30,143617,34,task-7kgt,,37673450,tpxp2,9856751,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 124.0.0.0,1440x900,1440x900,,,,Alternating Serial Reaction Time (ASRT) task,5,DGS,403.09999990463257,,76,,,serial-reaction-time,15,97340,0.0-135.0-0.0,1,,[],,"[[1,1,1,1]]","[0,3]",R,1,1,13,2314,1,4,l,l,403.09999990463257,244,X
17,1715792970982,15/05/2024 17:09:30,1715792970903,2,15/05/2024 19:09:30,143617,34,task-7kgt,,37673450,tpxp2,9856751,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 124.0.0.0,1440x900,1440x900,,,,Alternating Serial Reaction Time (ASRT) task,5,DGS,332.59999990463257,,76,,,serial-reaction-time,16,98194,0.0-146.0-0.0,1,,[],,"[[1,1,1,1]]","[0,3]",R,1,1,14,2314,1,4,l,l,332.59999990463257,444,X
18,1715792971822,15/05/2024 17:09:31,1715792971724,2,15/05/2024 19:09:31,143617,34,task-7kgt,,37673450,tpxp2,9856751,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 124.0.0.0,1440x900,1440x900,,,,Alternating Serial Reaction Time (ASRT) task,5,DGS,300.5,,76,,,serial-reaction-time,17,99015,0.0-157.0-0.0,1,,[],,"[[1,1,1,1]]","[0,3]",R,1,1,15,2314,1,4,l,l,300.5,444,X
